price,year,home_size,parcel_size,beds,age,pool,cbd_dist,x_coord,y_coord
127.985,2002,1480,7094,3,11,0,15995.31,505328.3,1574515
102.73,2000,1034,13479,2,52,0,3008.07,544290.1,1528253
141.908,2002,1793,8623,3,7,0,13557.86,490980.4,1538619
1005.953,2001,6252,26159,4,9,1,16847.24,490369.6,1498236
328.065,2001,3388,11992,4,0,1,18333.47,507932,1584921
273.113,2005,2894,5500,4,2,0,21473.19,605046,1524998
193.659,2004,2838,6092,4,1,0,17123.26,525740.1,1475641
90.567,2000,1119,8291,3,25,0,6521.01,549163.1,1515199
472.655,2003,3854,16221,4,0,1,16636.4,480973.8,1522155
175.807,2003,1996,5492,4,0,0,22095.11,603762.6,1553628
197.558,2002,1473,10800,2,53,0,4093.62,538529.2,1544015
342.704,2002,2320,11652,3,27,1,7124.72,550021.6,1548879
154.849,2000,1697,5750,4,0,0,21058.31,603539.1,1523583
113.689,2001,1484,9822,3,3,1,8259.51,525539.6,1556561
147.884,2004,1820,11110,5,19,0,9187.68,564483.9,1536599
442.349,2004,3688,21785,4,14,1,13886.18,491077.2,1518366
205.799,2004,1992,12440,5,49,0,8653.89,539809.8,1503135
271.089,2003,2965,7499,3,0,1,15708.93,585022.9,1519293
113.037,2003,1350,7315,3,19,1,9782.41,531902.4,1499127
93.496,2001,1248,6386,3,0,0,7119.35,511485.3,1531916
117.285,2004,1176,8113,3,44,1,8026.64,538809.6,1505056
366.929,2000,3661,6526,5,10,1,1296.29,539043.6,1530466
82.261,2000,1108,16395,3,33,0,11071.22,520684.9,1564564
140.513,2003,1503,5859,3,2,0,14254.38,581458.1,1527226
91.431,2005,1059,7236,2,21,0,21190.96,490040.1,1584297
73.97,2000,1096,1800,2,12,0,15526.23,522759.7,1481593
130.035,2003,1718,7627,3,0,0,6560.04,535627.5,1509582
132.979,2002,1578,9200,3,16,0,13090.55,492183.4,1536246
171.619,2000,2340,5167,4,2,1,9668.89,526498.3,1561715
258.931,2003,2579,18526,4,4,1,25898.39,489158.2,1602777
40.313,2002,1048,7836,2,43,0,15269.76,486951.9,1545881
121.059,2000,1769,7585,4,2,0,11361.66,498387.4,1539004
145.61,2000,1832,9281,3,15,1,12795.99,492996.6,1534714
191.741,2004,2361,6763,4,0,0,21643.43,466357.1,1512223
95.763,2002,1070,6819,2,23,0,16145.28,511037.6,1483755
86.786,2002,912,7498,3,42,0,8754.8,562100.3,1522028
518.804,2004,5294,20553,6,14,1,20656.47,522391.8,1464456
121.439,2003,1310,4523,3,6,0,9928.27,564339.3,1517277
170.124,2003,1895,5498,4,0,0,21579.06,605327.8,1524268
146.57,2001,1457,4401,3,0,1,19051.95,544529.9,1469326
161.25,2002,1125,8140,2,32,0,2877.78,543434.6,1535006
108.312,2004,1595,10629,3,18,0,18864.22,538319.8,1469284
290.317,2003,3486,15151,4,0,0,11998.25,573360.3,1522942
93.055,2000,1827,9424,6,31,0,14818.47,583254,1535676
123.672,2001,1675,5049,3,2,0,14537.51,580070.4,1515923
142.087,2002,1760,3802,3,0,0,16325.33,505256.4,1575770
114.108,2003,1330,10019,3,44,0,6959.85,557495.1,1528210
159.457,2002,2127,4611,3,0,1,23435.08,458841.6,1519230
96.384,2000,864,7011,2,4,0,3098.29,545003.8,1530948
146.24,2001,1815,9910,3,11,0,2102.7,539991.3,1526510
203.403,2004,1618,8452,4,19,0,8241.34,554709.3,1549446
148.541,2004,1732,8046,4,0,0,12752.72,498884,1552529
89.282,2003,1066,7383,3,21,0,15276.96,487663.8,1548086
166.824,2003,1662,13978,3,9,0,18805.54,596520.9,1529036
99.625,2003,966,3948,2,11,0,11683.21,572522.4,1538169
77.608,2001,1036,2896,2,10,0,18825.97,539281.4,1469472
132.49,2002,1555,11700,3,15,0,8106.67,553806.6,1512443
115.638,2003,1279,8899,3,3,0,10986.82,500453.3,1541960
183.297,2001,2206,8629,4,0,0,14357.54,492698.5,1552187
128.461,2002,1443,5539,3,12,0,14823.12,582721.9,1522514
133.741,2002,1358,6199,3,2,0,18284.07,593861.8,1520285
116.809,2002,1209,8864,3,11,0,17124.29,528415.5,1475270
121.059,2000,1782,6050,3,2,0,11119.22,499057.9,1538282
171.487,2004,1941,6163,3,0,0,21350.38,543299.7,1461540
781.839,2003,4767,16834,3,0,1,18639.26,482004.8,1500260
110.588,2000,1727,6687,4,12,0,10685.31,499926.5,1527764
142.399,2003,1619,5000,3,15,0,21398.93,522337.8,1461988
108.263,2001,1448,9650,3,11,0,11444.1,507615.5,1556976
200.641,2003,2033,15303,3,20,1,15624.92,484111.7,1538625
281.201,2004,3162,6168,4,0,1,22862.04,460207.4,1523328
102.908,2002,1056,9077,2,42,0,5141.07,544689.8,1517401
139.093,2002,1732,10126,3,12,0,14222.67,493675.1,1553111
106.985,2001,1498,7401,4,0,0,6744.49,513198.2,1526434
248.022,2003,3183,10625,5,0,0,21435.4,465921.7,1516959
171.182,2000,2157,8983,3,28,0,6741.35,551148.9,1546040
125.941,2003,754,6363,2,18,0,6777.51,541205.9,1552410
107.139,2000,1312,5491,3,0,0,18276.85,594033.2,1521413
420.291,2004,3410,10625,4,0,1,29539.54,630986,1518686
103.019,2002,1452,10070,3,37,0,9258.93,531880.3,1500854
31.093,2000,1038,4904,3,25,0,1449.71,530211.4,1532214
199.921,2004,2406,7826,4,0,0,13483.32,575111.9,1512765
177.633,2003,2295,5485,4,0,0,21484.31,605106.9,1525284
147.294,2005,1456,9101,3,19,0,13509.04,494405.4,1549292
93.694,2005,1003,8892,3,30,0,6748.08,515255.5,1541436
153.925,2002,1681,10201,3,23,0,14417.84,496647.2,1503158
170.037,2001,2268,5568,4,3,1,13567.19,578001.6,1520170
438.96,2003,3122,15934,4,7,1,10520.34,532519.9,1565549
136.051,2004,1680,9183,3,31,0,8951.31,562901,1539783
169.856,2004,1660,1883,3,0,0,22427.78,607378.4,1518622
110.614,2004,1276,5505,3,3,0,9866.54,505515.2,1544839
220.867,2003,2494,10775,4,10,1,19498.69,524563.6,1467934
108.548,2004,975,8354,3,7,0,21398.33,491817.9,1586608
342.704,2002,2555,13051,3,37,0,2463.62,536832.1,1523262
147.361,2002,1727,5000,3,0,0,20066.61,600255.3,1538688
109.105,2000,1661,9943,4,0,0,8905.07,512442.2,1549877
167.201,2001,1877,11892,4,36,1,5632.39,543444.9,1514739
218.174,2000,1979,9721,3,30,1,11033.68,547191,1565137
91.311,2000,1237,10540,3,2,0,12766.26,576000.2,1538908
234.289,2004,1959,6597,3,1,0,9437.17,506934.3,1517655
773.386,2002,4851,30716,4,0,1,14594.53,487694.3,1522619
259.336,2003,2362,47071,4,14,1,25785.32,599158.8,1476105
135.529,2002,1842,23009,3,11,0,10021.18,566333.6,1540564
91.847,2001,1452,6757,3,14,0,11752.38,572948.6,1537027
85.467,2001,1382,11057,3,33,0,14553.54,581090.9,1543022
181.576,2003,1633,6552,3,8,0,11594.54,499265.8,1517579
1883.188,2004,4871,44481,5,4,1,19477.76,473195,1514164
164.571,2001,2048,13000,4,15,1,12841.6,493018.5,1525853
223.719,2003,2227,12174,4,12,0,16208.64,481728.2,1528043
141.324,2000,1708,5500,3,0,0,15741.35,520579.6,1481441
350.612,2005,2896,47024,4,6,0,25368.27,615913.8,1550026
222.322,2004,2047,8140,4,11,1,19537.11,521344.8,1468407
413.409,2004,3347,12376,4,14,1,3739.73,523645.1,1536137
108.325,2000,1690,11250,3,8,0,30378.05,633914.7,1519987
163.19,2000,2319,5400,4,0,0,14815.37,579437.1,1550463
138.348,2004,1364,5308,3,6,0,12293.46,574621.6,1537805
127.089,2000,1528,5000,4,1,0,17380.83,591553.3,1525006
141.928,2004,1164,6216,3,2,0,14828.82,579600.4,1512000
132.881,2002,1574,4403,4,0,0,19056.7,544130.1,1469249
84.195,2000,1139,8319,3,30,0,9558.2,508071.1,1547458
166.499,2000,1559,5750,4,0,1,21030.59,603271.5,1522120
131.599,2000,1621,10001,3,0,0,19732.15,499763.4,1585538
142.018,2001,2156,5042,4,0,0,15770.29,584332.1,1515965
112.02,2001,1311,8639,3,36,0,3733.29,537380.8,1519112
217.022,2003,2486,13931,3,9,0,20416.85,597776.2,1554088
243.019,2004,2162,5500,3,2,1,20806.2,602671.7,1523274
793.832,2000,4504,20499,4,0,1,18090.42,483502.2,1501268
329.278,2004,2812,11967,4,3,1,20521.17,602075.1,1527235
268.835,2002,3205,17211,5,0,1,24857.9,615894.3,1540334
187.078,2001,2577,5500,4,3,1,19605.06,599112.2,1528160
249.022,2004,2276,8252,4,4,0,14860.64,486791.8,1539489
230.374,2003,2168,6425,4,0,0,16424.52,481214.7,1525587
127.167,2003,1166,12053,3,24,1,8025.37,526372.3,1556039
138.282,2003,1671,23248,3,0,0,11559.62,501573.4,1549352
78.24,2002,1199,8607,3,39,0,9193.89,529618.9,1501378
145.095,2001,2075,5704,4,0,0,13658.69,490438.4,1537286
183.392,2002,2280,8621,3,0,0,14477.86,492072.3,1551809
350.704,2003,2140,29281,3,31,0,6358.71,537346.6,1510380
602.311,2002,2798,14968,5,14,1,8063.29,541165.4,1556793
79.996,2001,1298,8245,4,26,0,8515.42,513631.1,1549302
116.516,2001,1340,5881,2,33,0,9367.2,538224,1561653
88.142,2005,1270,3631,4,8,0,5211.83,518300.5,1535473
184.286,2002,1829,10611,4,22,0,4790.53,548639.9,1538624
92.06,2000,1476,10171,3,41,0,8889.28,562569.8,1540153
368.132,2002,3463,14088,5,5,1,13384.32,492133.4,1520802
137.695,2003,1400,6050,3,0,0,12829.2,569717.8,1507532
89.834,2001,1422,10418,3,45,0,9013.4,562898.6,1540456
187.2,2003,2232,14978,4,0,0,24092.54,483829.6,1591519
126.816,2001,1877,5254,4,2,0,20379.33,598263.2,1552323
167.383,2004,1691,5622,3,0,0,21126.19,604058.8,1535055
157.103,2001,1713,7654,3,0,0,19081.35,472258.5,1528692
222.277,2003,1892,12056,3,16,0,13348.98,501577.4,1502581
112.53,2003,1420,16610,2,4,0,19875.42,507772.4,1590448
357.065,2004,2380,6137,3,0,0,4856.21,547927.8,1540189
312.352,2005,2693,40609,3,20,1,16546.77,587423.4,1544652
132.264,2004,1408,12995,3,13,0,10741.32,515365.7,1560485
135.785,2002,1801,10144,3,11,0,13057.25,494507.4,1545588
176.764,2002,3520,4998,5,3,0,8499.79,514321.3,1550000
155.663,2004,1868,5972,4,4,0,19350.94,471417.6,1534480
120.424,2000,1628,10125,3,12,0,14846.21,578932.4,1551825
289.444,2003,2774,14652,4,0,1,18522.89,474392.5,1524608
126.515,2004,1108,3439,2,6,0,18701.65,539098.6,1469868
275.162,2003,2855,10121,4,0,1,13971.09,575955.5,1551387
144.073,2002,1948,5500,3,0,0,25057.55,616782.9,1538012
187.358,2001,2136,8625,3,0,0,11924.69,572564.8,1520695
210.281,2004,2032,9505,3,5,0,23601.81,485704.3,1590982
687.994,2005,3887,15435,5,6,1,19662.97,492643.9,1482268
106.709,2001,1657,10872,3,15,0,14920.69,487782.6,1544659
203.95,2002,2298,8819,4,0,0,21994.37,585648.9,1479827
144.555,2002,2039,8690,4,10,0,12472.93,571940.9,1513807
81.894,2001,1597,7310,3,37,0,8140.89,530960,1504662
74.122,2000,1173,8539,3,0,0,18088.82,491041.1,1571177
90.084,2001,1522,10188,4,28,0,9864.43,507817.5,1548933
110.144,2000,1742,6529,3,7,0,12046.56,568304.5,1510050
181.302,2004,1386,6234,3,24,0,3981.02,533840.1,1544125
105.442,2000,1314,7131,3,7,0,9178.05,561575.9,1517229
170.124,2003,1861,10586,4,0,0,20028.91,530392.3,1465514
223.323,2001,2792,10846,3,9,1,19842.18,523533.6,1466965
83.946,2001,1200,7366,3,16,0,19641.68,597906.1,1544428
478.467,2002,2292,55308,4,14,1,17453.87,479146.1,1517684
69.042,2001,1267,8083,3,27,0,25353.75,474982.8,1588903
120.361,2000,2376,7501,5,18,0,10107.93,503112.1,1540796
113.485,2003,1782,10732,3,9,0,12687.26,494650,1542000
114.921,2003,1644,9243,4,42,1,9013.39,508325.1,1544221
137.712,2002,1468,7644,3,5,1,18099.68,502965.5,1581226
138.735,2003,1453,2875,3,0,0,23646.25,611925.9,1522159
173.765,2002,1610,8700,3,18,0,14103.45,498460.5,1502475
123.067,2003,1240,8658,3,18,0,13241.1,572226.4,1508951
107.841,2003,1152,12392,3,44,0,10219.31,559485.5,1553842
268.504,2004,2142,7992,4,2,0,20744.37,510355.2,1467569
117.352,2000,1623,12001,3,5,0,12925.07,493984.6,1542523
118.775,2001,1874,5624,3,0,0,16878.16,541666,1476127
253.97,2005,2130,5623,4,10,1,18373.35,595124.3,1529864
132.899,2000,1065,6800,2,45,0,3377.29,530092.3,1541115
250.612,2003,2738,15428,5,15,1,12804.04,501666.7,1505272
315.565,2001,3495,10910,4,37,1,7350.61,553238.8,1546696
75.165,2000,1176,8250,4,20,0,14333.47,579651.6,1545399
94.784,2000,1246,3240,3,0,0,20707.8,535682.9,1463141
149.529,2001,2014,12619,4,19,1,12535.75,571185.1,1550370
336.061,2001,3572,28905,4,0,1,18223.28,475511.7,1524004
180.202,2002,1976,34382,4,5,0,27111.44,490496.5,1608241
356.268,2003,3906,27284,4,0,1,26454.54,487475.4,1603864
80.068,2003,1025,5983,3,22,0,12497.92,507414.6,1561602
75.342,2002,1116,10429,2,27,0,19692.18,489167.7,1576828
190.09,2003,960,269496,1,36,0,24917.13,453935.8,1519158
242.835,2002,3688,9019,5,0,0,22589.15,461397.1,1520954
92.184,2000,1427,4722,3,0,0,8451.93,562339.4,1534707
917.095,2002,3128,10376,4,1,1,7866.28,549119.8,1552603
50.102,2002,1014,13500,2,51,0,4893.37,528287.6,1516434
274.178,2002,2652,6873,5,2,0,2778.43,535297.4,1540205
170.699,2002,1817,3640,3,0,0,16354.7,505357.4,1575961
119.262,2001,1642,8200,3,0,0,11851.08,500613.4,1549580
234.969,2002,3080,19283,4,0,1,19645.21,476938,1502729
224.988,2004,2582,7565,4,0,0,16356.93,587945.8,1523273
154.018,2004,1842,6062,3,7,0,21314.09,601594.4,1551993
96.536,2002,1437,10564,3,48,0,6999.55,530235.9,1508591
124.604,2002,1334,5750,3,9,0,16810.65,529560,1476176
108.183,2002,1379,8442,3,33,0,4785.68,546851.7,1520982
153.244,2003,1402,11360,3,43,0,9035.35,548625.3,1557358
614.854,2000,2400,58457,3,21,0,18847.56,485500.8,1493025
119.774,2002,1392,6756,3,8,0,9712.68,563940.1,1518094
155.468,2002,1607,5609,3,12,1,21463.57,521373.4,1461954
518.672,2003,5372,25911,4,14,1,15611.12,490436.4,1505531
143.703,2001,1690,5635,4,2,0,19144.61,597566.2,1527520
29.686,2002,806,15972,2,72,0,9871.44,522140.2,1560904
100.171,2004,1170,5752,3,0,0,6878.42,512686.6,1526738
93.775,2003,1290,8378,3,32,1,8305.62,512632.8,1546910
341.505,2005,2507,23075,4,13,1,12334.3,496315.9,1518654
49.911,2000,1100,1999,3,14,0,21992.3,462676.2,1532689
683.963,2004,2887,28896,4,29,1,9401.11,545897.1,1559948
176.724,2004,1823,9902,3,17,0,13065.83,492379.7,1537118
89.186,2003,1370,7110,4,31,0,19226.9,596336.6,1545224
221.163,2000,2411,12262,4,12,1,12458.91,499031.2,1511351
135.175,2002,1449,5225,4,0,0,14413.83,578493.1,1512879
68.519,2002,1000,6757,3,42,0,11585.43,513819.6,1499411
144.608,2004,1327,11175,3,21,1,11256.71,507593.7,1556051
101.83,2002,1451,3399,4,8,0,15323.67,502333,1569474
171.259,2003,1684,6601,4,0,1,21427.69,605128.6,1533235
77.916,2002,1130,7909,3,32,0,12683.48,501336.9,1555807
112.279,2001,1579,5720,3,8,0,14110.84,580818.1,1525584
78.536,2000,1158,6116,3,13,0,10764.64,502932.9,1546290
289.777,2002,2234,10075,3,8,1,1681.76,536898.8,1525978
277.914,2001,3050,12358,3,2,1,20218.71,601023.8,1526358
154.833,2001,1534,11795,3,19,1,7592.32,550772.4,1511942
211.113,2004,2216,9267,3,1,0,23845.64,479103.3,1586041
263.753,2003,1826,4266,3,6,0,2087.25,529518.6,1535416
130.408,2000,1652,5539,3,10,0,21469.36,522033.3,1461809
340.876,2005,2338,13295,4,4,1,21016.35,511414.1,1466222
128.09,2001,1784,4400,3,0,0,23744.3,457833.6,1519078
180.685,2002,2371,11628,4,0,0,14865.62,491020.8,1552557
124.341,2003,1304,6601,2,33,0,10831.68,567569.9,1544963
96.462,2003,1163,3577,3,9,0,21078.52,538772.6,1462031
145.287,2002,1522,10739,3,36,1,8055.22,540552.3,1505286
133.22,2002,1419,13065,3,19,0,6930.29,555086.8,1520741
161.712,2002,2202,12849,4,14,1,11829.55,573232.8,1525351
239.075,2003,2735,7101,4,0,1,20995.37,510189.8,1466750
170.468,2004,1850,2555,3,15,0,15253.9,496914.6,1498414
570.177,2005,3493,12842,4,1,1,13211.22,491985.2,1524483
189.339,2001,2598,9230,4,6,1,16931.5,533339.9,1475549
137.057,2003,1451,11177,4,30,0,8491.41,553541.8,1510440
69.32,2000,1098,8182,2,42,0,8117.16,508779.8,1536643
196.513,2003,2299,6077,4,3,0,21650.73,509980.6,1464530
139.491,2003,1943,12777,4,15,1,13195.21,492510.4,1540259
199.272,2003,2261,14620,4,5,1,15917.65,482667.3,1528359
136.741,2003,1577,5053,3,6,0,15202.63,584698.1,1532903
244.032,2000,2520,12494,4,0,1,17995.07,476056.9,1525359
196.518,2003,2042,6466,4,0,0,23488.68,458085.1,1523818
133.797,2004,1517,7905,4,42,0,9227.57,529600.1,1501269
102.826,2001,1619,8775,3,48,0,7541.33,559567.6,1530127
153.832,2004,1660,2909,3,0,0,22389.87,607304.4,1518929
450.157,2004,2837,24000,4,15,1,18660.07,474591,1520097
154.736,2001,1928,8055,3,0,0,18950.28,472679.1,1528964
137.258,2004,1538,9294,3,14,0,9346.68,565506.3,1531677
145.18,2001,1898,8193,4,6,0,7022.51,553679.1,1517826
234.685,2001,2848,10575,3,0,0,16627.47,588147,1519439
82.004,2004,1350,8711,3,39,0,3746.14,523424.6,1526523
102.801,2000,1612,7449,3,15,0,13924.94,577191.3,1548263
133.373,2004,1278,1701,2,0,0,17704.1,592810.6,1534980
236.608,2004,2529,12593,4,0,0,26639.18,485185.8,1603060
199.048,2001,1438,8653,3,49,0,5155.83,545116.1,1544538
114.021,2004,1498,7249,4,18,0,8295.55,507610.4,1531334
95.161,2000,1309,4004,3,0,0,10292.54,565505.9,1516936
224.317,2003,2293,10959,4,16,1,12357.32,498581.1,1512922
103.761,2004,1528,6501,4,41,0,9271.27,555767.1,1509012
99.443,2001,1265,5610,3,5,0,15269.21,498926.6,1566052
102.691,2004,1093,6571,3,18,0,10437.99,520689.4,1562297
447.343,2002,3888,14928,4,1,1,18167.6,482783.9,1502016
150.631,2000,1859,16215,4,12,1,7152.1,550154.8,1513312
125.846,2003,1206,4059,2,0,0,23121.44,608870.3,1514446
234.668,2001,2508,11245,4,3,0,17513.25,499890.4,1485464
166.369,2004,1918,5251,4,13,1,18438.61,521049.1,1472174
67.246,2002,1200,12003,3,48,0,20568.46,492111,1583361
215.147,2003,1858,5594,3,0,0,17023.53,571273.8,1488744
148.361,2003,1483,5000,3,5,0,19100.92,597451.3,1528065
267.95,2001,3100,7979,5,1,1,15099.33,583114.9,1519921
142.956,2002,1739,11417,3,0,0,14255.81,581483.6,1527485
86.467,2004,1025,7641,3,33,0,18129.91,501818.6,1580605
103.027,2004,2257,9839,4,44,0,8979.09,506232.6,1538186
165.491,2005,1659,10058,3,40,1,8430.76,551321.9,1553320
141.928,2004,1546,11461,3,25,0,10709.95,569341,1524395
89.839,2000,1268,7000,3,0,0,8904.39,505633,1529941
100.428,2005,1125,8235,3,31,0,10831.11,507211.7,1553469
112.897,2001,1310,4924,3,0,0,12169.7,513110.3,1564612
191.195,2002,2153,7354,4,8,1,16952.1,590259.3,1526233
259.402,2004,2010,17270,3,10,0,12412.03,499584.4,1510684
7629.992,2003,10796,86488,6,2,1,17902.64,481460,1506538
164.013,2003,1704,5941,3,0,0,13083.41,573633.5,1512698
292.692,2004,1980,10456,5,37,0,7454.46,549740.8,1550499
165.694,2000,1708,6326,3,0,0,10982.02,504389.5,1511809
301.658,2002,2338,15745,3,0,0,19984.94,479611.6,1495711
153.242,2000,2075,7177,4,0,0,17241.79,506683.6,1580184
264.735,2001,2765,10817,4,0,0,20623.27,529375.8,1463634
81.938,2001,1150,6001,3,31,0,10876.14,567567.8,1545338
134.616,2004,1300,4401,3,7,0,20002.29,469193,1531748
82.52,2001,1135,3600,3,15,0,15656.46,500382.1,1569218
83.852,2000,1194,5001,3,0,0,12455.13,566704.1,1505497
221.055,2003,4022,10874,6,0,0,21265.74,604629.3,1530906
395.293,2004,3019,12888,4,0,1,22016.85,485731.5,1584106
122.847,2003,1315,7511,3,14,0,15632.85,583005.8,1548762
15.296,2002,964,4107,2,101,0,19193.45,472303.3,1538688
224.958,2005,2756,8260,4,3,0,20438.48,601913.8,1531428
154.699,2005,1351,7642,3,13,1,28537.08,485491.2,1610701
373.216,2000,2741,11724,4,6,0,8655.27,550361.6,1554883
159.065,2004,1173,7800,2,44,0,3127.5,540733.2,1522696
54.374,2001,1628,6799,1,55,0,3045.28,542336.3,1524491
102.011,2002,1724,2080,3,5,0,20280.97,537500.6,1464590
129.375,2002,1555,9943,3,0,0,23910.5,479204.7,1586454
155.572,2004,1480,16147,3,32,0,12099.03,501778.5,1509166
143.18,2003,1565,5751,3,12,0,18260.63,521080.6,1472767
121.371,2001,1248,7730,3,31,0,4752.99,544349.1,1518735
238.468,2004,3104,9250,5,3,0,14843.11,486810.9,1539261
83.55,2000,1258,8396,2,45,0,6292.39,554980.8,1526550
294.74,2003,2878,9750,4,0,0,22625.45,461149.4,1521925
115.693,2000,2142,6630,4,0,0,22125.95,489045.1,1587456
134.951,2000,1008,7050,2,20,0,3830.82,534271.8,1543658
131.359,2003,1334,7500,4,13,0,13109.93,572085.5,1509563
298.217,2002,3080,14378,4,0,1,19295.6,478077.9,1503012
126.738,2003,1709,8810,3,14,0,11688.97,498481,1518851
174.688,2004,1544,9713,4,34,0,4462.73,541109,1517862
141.202,2003,1619,5000,3,15,0,21401.64,522384.7,1461971
89.488,2003,908,6983,2,8,0,6411.11,530558.6,1551699
126.739,2000,1430,5366,4,0,0,18872.87,544533.1,1469921
247.035,2004,2897,5873,5,2,1,21271.62,603867.4,1520681
153.182,2004,3363,42449,5,64,1,23856.42,478548.2,1585524
145.678,2003,1793,8623,3,8,0,13557.86,490980.4,1538619
301.679,2003,3470,11275,4,0,0,20388.63,468206.9,1524928
112.907,2001,1260,5250,3,5,0,20931.09,517234.7,1464696
151.085,2004,1614,6637,3,4,0,21823.89,603273.1,1552230
253.787,2000,2332,6547,3,2,0,19257.12,494116.1,1482763
174.747,2000,2367,8792,4,9,1,18959.4,521902.5,1470233
280.011,2004,3363,9344,4,0,0,18007.64,482232.9,1558037
179.246,2002,2170,10802,4,17,0,13377.18,498569.3,1506355
182.401,2004,1849,6017,3,0,0,22824.39,608021.8,1515123
115.156,2004,1241,7190,3,0,0,12784.97,539065.1,1489352
176.257,2001,2143,8051,3,0,0,9876.76,502685,1526971
132.99,2002,990,14186,2,55,0,2955.29,543487.8,1526716
541.468,2000,4062,17158,5,2,1,19329.41,493085.4,1483335
110.21,2000,1264,8221,3,0,0,21673.97,602904.1,1551754
202.26,2002,2348,8938,4,7,0,12437.17,494988.7,1522249
78.021,2001,1524,6496,3,42,0,8734.63,506178.8,1531819
135.838,2001,2004,7440,3,10,1,21267.77,540644.9,1461540
229.185,2002,2341,9578,4,13,0,7057.41,548631.7,1512492
144.763,2003,1729,8250,3,13,0,12119.51,571217.5,1515019
166.391,2005,1826,11016,3,17,0,9069.36,514302.6,1552646
75.918,2000,1265,9604,3,35,0,9348.51,509289.8,1548089
75.265,2000,1025,11096,3,40,0,8675.31,534252.2,1502632
118.846,2001,1874,5499,3,0,0,16922.81,541459.5,1475954
116.878,2000,1929,13073,3,18,0,15976.96,513478.9,1483209
84.72,2001,958,10128,2,16,0,11619.78,497080.8,1536468
160.545,2005,1229,6031,3,11,0,13956.98,580608.3,1532869
839.306,2003,5077,32541,5,0,1,14490.97,488038.7,1522624
156.519,2005,1154,5041,3,2,0,14659.99,578595.3,1511096
142.396,2004,1324,5740,3,12,0,11856.63,567487.1,1509928
284.191,2000,2598,13301,4,5,1,12449.75,498066.7,1513279
106.579,2002,1345,6282,3,13,0,15996.02,520563.2,1480577
94.183,2000,1584,9998,4,35,0,9031.67,508404.7,1544514
240.978,2002,3724,11682,5,0,0,12405.74,574397.6,1521473
248.272,2003,1653,7692,4,28,0,3935.29,537779.3,1543673
87.387,2001,1242,10448,3,30,0,8024.6,527981.6,1556526
120.361,2000,1619,5250,3,11,0,21441.46,521826.5,1461941
98.925,2001,1279,7868,3,1,0,17066.14,496508.2,1571949
134.128,2004,2755,10848,4,39,0,8998.23,508617.3,1544688
133.797,2004,1464,7400,3,33,0,7776.17,559322.6,1523904
155.991,2003,1569,5502,3,0,0,22359.53,461963.1,1522464
213.893,2004,1984,23160,3,0,0,21501.34,587805.5,1484473
99.991,2004,940,5421,2,18,0,15984.47,500072.3,1570386
211.567,2005,1768,9781,4,5,0,22534.39,489464.9,1589505
116.019,2003,1563,7475,3,20,0,9909.45,562500.9,1548200
170.224,2001,1160,7450,2,11,0,2519.35,540007.6,1537549
345.206,2004,2373,11217,3,2,0,20067.13,478967.5,1496225
91.847,2001,1312,6962,2,22,0,15562.8,513576.4,1484656
192.174,2004,2054,2986,3,19,0,3044.07,525564.1,1534817
